"","Geo_FIPS","MAJORITY","AADT","TC","Percentage.of.below.18","Percentage.of.above.65","Percentage.of.non.white.pop","Percentage.of.less.than.HS","Percentage.of.unemployment","MHI","Population.Density..Per.Sq..Mile.","PM2.5","Traffic"
"551",6037212702,23,0,0,0.12,0.2,0.75,0.08,0.06,73028,10682.07,12.03992694,1215.321087
"552",6037212800,23,0,0,0.15,0.18,0.66,0.18,0.05,49867,11745.34,12.0118796,1030.397324
"553",6037212900,23,0,0,0.23,0.1,0.63,0.27,0.04,43167,28193.03,12.05102217,1102.413226
"554",6037213100,23,0,0,0.19,0.14,0.83,0.23,0.04,44167,14535.54,12.08158891,1342.882333
"555",6037213201,24,0,0,0.23,0.16,0.84,0.29,0.09,32819,30404.77,12.08158891,1481.97668
"556",6037213202,24,0,0,0.18,0.13,0.82,0.36,0.07,38899,30213.1,12.08158891,1193.126075
"557",6037213310,24,0,0,0.15,0.11,0.86,0.38,0.04,48333,25021.11,12.1093104,1214.28459
"558",6037213320,24,0,0,0.15,0.16,0.79,0.31,0.03,26759,20532.76,12.1093104,1305.459915
"559",6037213401,24,0,0,0.23,0.08,0.62,0.39,0.06,33607,64175.18,12.17561826,1299.531172
"560",6037213402,24,0,0,0.24,0.09,0.68,0.35,0.07,42766,32103.36,12.17561826,1342.148868
"561",6037214000,23,0,0,0.34,0.16,0.09,0.06,0.08,120625,10951.03,11.83730224,1407.649588
"562",6037214100,23,0,0,0.23,0.14,0.13,0.02,0.03,100824,8571.909,11.89088295,1570.542033
"563",6037214400,24,0,0,0.09,0.04,0.13,0.03,0.09,77708,21938.72,11.83730224,1316.193825
"564",6037214501,23,0,0,0.17,0.1,0.43,0.03,0.06,87364,9301.792,11.72613579,1220.115178
"565",6037214503,23,0,0,0.17,0.12,0.53,0.03,0.03,75294,38150.69,11.85554635,1032.33664
"566",6037214600,23,0,0,0.08,0.16,0.21,0.03,0.05,102868,10619.54,11.71898001,1378.024646
"567",6037214700,23,0,0,0.11,0.25,0.19,0.05,0.06,96579,10537.33,11.71968263,1122.292637
"568",6037214800,24,0,0,0.13,0.14,0.19,0.05,0.05,108648,12629.29,11.68771731,1371.472776
"569",6037214902,24,0,0,0.1,0.19,0.28,0.03,0.05,84840,13021.66,11.70232612,1315.019691
"570",6037215101,24,0,0,0.07,0.05,0.35,0,0.03,67888,22202.74,11.72613579,1248.281658
"571",6037215102,24,0,0,0.06,0.06,0.27,0.01,0.04,69979,30745.01,11.85554635,1417.659668
"572",6037216100,23,0,0,0.15,0.19,0.4,0.06,0.03,104604,8253.05,12.01976856,1162.048349
"573",6037216401,24,0,0,0.15,0.13,0.18,0.03,0.05,75597,23740.17,11.69760185,1602.000454
"574",6037216402,24,0,0,0.09,0.21,0.26,0.06,0.01,75000,28457.44,11.699038,1668.333843
"575",6037216700,23,0,0,0.14,0.14,0.56,0.08,0.05,79730,12767.68,11.70222472,1124.323275
"576",6037216800,23,0,0,0.22,0.12,0.35,0.08,0.05,91821,11212.83,11.7011911,1356.654908
"577",6037217001,23,0,0,0.35,0.12,0.12,0.03,0.04,87250,12861.76,11.68010796,752.3383789
"578",6037217002,23,0,0,0.25,0.09,0.18,0.06,0.03,87934,15576.75,11.69991328,1172.409411
"579",6037217200,23,0,0,0.17,0.1,0.63,0.23,0.03,69817,11711.89,12.01083645,1183.139111
"580",6037218110,23,0,0,0.21,0.14,0.68,0.26,0.04,44009,13823.92,12.00885913,1091.163876
"581",6037218120,24,0,0,0.26,0.09,0.68,0.42,0.02,36488,26981.28,12.05102217,790.0911059
"582",6037218210,23,0,0,0.2,0.09,0.57,0.45,0.05,35436,24807.77,12.00354413,1205.655764
"583",6037218220,23,0,0,0.15,0.13,0.49,0.27,0.04,49632,14856,12.00885913,1171.41166
"584",6037218300,23,0,0,0.21,0.11,0.63,0.25,0.05,53621,15370.43,11.85097115,923.7156716
"585",6037218400,23,0,0,0.26,0.08,0.46,0.27,0.03,64018,18683.43,11.85097115,3063.418989
"586",6037218500,23,0,0,0.18,0.13,0.49,0.28,0.04,44872,13072.32,11.95828056,4384.188796
"587",6037218600,23,0,0,0.18,0.11,0.58,0.26,0.05,51604,18933.51,11.98834506,4180.993157
"588",6037218701,23,1,0,0.19,0.13,0.73,0.17,0.09,49316,10945.71,11.98834506,4337.325545
"589",6037218702,23,1,0,0.21,0.14,0.68,0.26,0.1,38827,14805.24,11.98834506,4990.609317
"590",6037218800,23,1,0,0.19,0.13,0.75,0.24,0.04,46140,17315.08,12.0039133,4170.190184
"591",6037218900,23,1,0,0.21,0.07,0.77,0.25,0.04,41019,22641.13,12.00024046,4031.173939
"592",6037219010,23,0,0,0.22,0.1,0.74,0.32,0.03,54708,17783.3,12.00024046,722.4187406
"593",6037219020,23,0,0,0.27,0.13,0.73,0.29,0.12,59180,19290.49,11.98833627,604.4825026
"594",6037219300,23,0,0,0.25,0.11,0.69,0.17,0.11,43103,16843.78,11.9612643,1326.027438
"595",6037219500,23,0,0,0.19,0.2,0.72,0.08,0.1,77147,9680.166,11.91626655,505.076388
"596",6037219700,23,0,0,0.23,0.11,0.59,0.31,0.05,50220,10684.86,11.94419228,2878.199432
"597",6037219800,23,0,0,0.19,0.1,0.45,0.4,0.04,43214,16609.26,11.94583615,3753.393961
"598",6037219901,23,0,0,0.24,0.08,0.38,0.46,0.06,39006,20477.49,11.94583615,3054.125252
"599",6037219902,23,0,0,0.19,0.1,0.52,0.32,0.06,49531,12360.16,11.84882762,2253.086852
"600",6037220000,23,0,0,0.17,0.23,0.67,0.21,0.02,42500,12555.65,11.9612643,923.4272424
"601",6037220100,23,0,0,0.12,0.27,0.76,0.26,0.02,40091,6384.034,11.91465003,1361.779481
"602",6037221110,24,0,0,0.26,0.1,0.47,0.57,0.1,34868,40967.88,12.18410918,1278.19926
"603",6037221120,24,0,0,0.26,0.09,0.56,0.51,0.06,38060,26079.1,12.18410918,1272.219146
"604",6037221210,24,0,0,0.2,0.14,0.63,0.41,0.05,50035,22846.97,12.05908901,1263.356021
"605",6037221220,24,0,0,0.21,0.1,0.74,0.47,0.06,43611,13260.26,12.07444266,1215.12494
"606",6037221302,23,0,0,0.19,0.1,0.61,0.37,0.04,37500,24507.5,12.02272051,1222.909357
"607",6037221303,24,0,0,0.22,0.09,0.67,0.43,0.08,39244,31061.97,12.08158891,1275.751133
"608",6037221304,24,0,0,0.23,0.12,0.9,0.37,0.04,43125,41667.57,12.05102217,1023.196316
"609",6037221401,23,0,0,0.2,0.22,0.73,0.27,0.05,24904,17326.73,12.0125659,4044.383573
"610",6037221402,23,0,0,0.19,0.2,0.72,0.22,0.11,37976,13871.64,12.02272051,4745.434734
"611",6037221500,23,0,0,0.26,0.11,0.71,0.42,0.12,29420,26360.98,12.05421442,4887.222368
"612",6037221601,23,0,0,0.2,0.1,0.65,0.36,0.11,45288,21992.96,12.10569353,4741.799354
"613",6037221602,24,0,0,0.27,0.1,0.67,0.44,0.06,36008,15011.01,12.07444266,4715.05973
"614",6037221710,23,0,0,0.11,0.16,0.74,0.36,0.05,39212,22371.39,12.10569353,3550.193888
"615",6037221810,23,0,0,0.15,0.07,0.71,0.39,0.16,25357,24611.76,12.10569353,1125.520357
"616",6037221820,23,0,0,0.03,0.03,0.53,0.08,0.32,12235,29962.07,12.05189368,1184.396045
"617",6037221900,23,0,0,0.07,0.06,0.59,0.28,0.16,17237,26851.83,12.05189368,1075.691946
"618",6037222001,23,0,0,0.2,0.11,0.66,0.29,0.08,71000,17157.45,12.0125659,1079.7208
"619",6037222002,23,0,0,0.27,0.08,0.71,0.4,0.1,48641,20709.63,12.004739,985.7699111
"620",6037222100,23,0,0,0.2,0.09,0.72,0.32,0.08,53864,23421.16,12.03443249,1129.428904
"621",6037222200,23,0,0,0.26,0.08,0.64,0.38,0.09,40227,21585.56,12.05421442,1078.48013
"622",6037222500,23,0,0,0.25,0.09,0.72,0.38,0.04,56548,20324.06,12.03443249,1088.668415
"623",6037222600,23,0,0,0.12,0.09,0.74,0.29,0.12,28581,22044.8,12.03443249,1042.531443
"624",6037222700,23,0,0,0.03,0,0.5,0,0.3,9632,12899.23,12.00727367,2177.071598
"625",6037224010,24,1,0,0.16,0.11,0.57,0.3,0.04,28082,8873.475,12.22607702,2299.077818
"626",6037224020,24,1,0,0.25,0.03,0.51,0.47,0.03,27332,5743.923,12.16525921,2411.601191
"627",6037224200,24,1,0,0.23,0.06,0.51,0.49,0.06,31996,17986.61,12.17492801,4107.833142
