Geo_FIPS,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_BLKGRP,Geo_GEOID,Percentage of below 18,Percentage of above 65,Percentage of non white pop,Percentage of less than HS,Percentage of unemployment,MHI,Population Density (Per Sq. Mile)
06037501504,Census Tract 5015.04,"Census Tract 5015.04, Los Angeles County, California",06,037,501504,,14000US06037501504,0.21,0.19,0.67,0.16,0.02,35601,11703.75
06037501600,Census Tract 5016,"Census Tract 5016, Los Angeles County, California",06,037,501600,,14000US06037501600,0.21,0.16,0.39,0.09,0.09,95587,2058.375
06037501700,Census Tract 5017,"Census Tract 5017, Los Angeles County, California",06,037,501700,,14000US06037501700,0.23,0.14,0.28,0.1,0.03,101579,6371.359
06037501802,Census Tract 5018.02,"Census Tract 5018.02, Los Angeles County, California",06,037,501802,,14000US06037501802,0.22,0.14,0.53,0.06,0.02,68783,11059.09
06037501803,Census Tract 5018.03,"Census Tract 5018.03, Los Angeles County, California",06,037,501803,,14000US06037501803,0.31,0.06,0.69,0.21,0.05,39885,19353.06
06037501804,Census Tract 5018.04,"Census Tract 5018.04, Los Angeles County, California",06,037,501804,,14000US06037501804,0.3,0.11,0.67,0.15,0.03,50134,10582.4
06037501900,Census Tract 5019,"Census Tract 5019, Los Angeles County, California",06,037,501900,,14000US06037501900,0.23,0.13,0.46,0.09,0.05,96591,7793.961
06037502003,Census Tract 5020.03,"Census Tract 5020.03, Los Angeles County, California",06,037,502003,,14000US06037502003,0.24,0.09,0.6,0.29,0.03,68698,10599.91
06037502004,Census Tract 5020.04,"Census Tract 5020.04, Los Angeles County, California",06,037,502004,,14000US06037502004,0.21,0.12,0.69,0.25,0.04,66563,8247.646
06037502005,Census Tract 5020.05,"Census Tract 5020.05, Los Angeles County, California",06,037,502005,,14000US06037502005,0.27,0.13,0.56,0.14,0.09,62279,12092.66
06037502100,Census Tract 5021,"Census Tract 5021, Los Angeles County, California",06,037,502100,,14000US06037502100,0.2,0.17,0.54,0.26,0.04,66808,6750.468
06037502200,Census Tract 5022,"Census Tract 5022, Los Angeles County, California",06,037,502200,,14000US06037502200,0.22,0.14,0.5,0.29,0.05,68882,10264.37
06037502301,Census Tract 5023.01,"Census Tract 5023.01, Los Angeles County, California",06,037,502301,,14000US06037502301,0.21,0.16,0.68,0.3,0.05,67238,9385.641
06037502302,Census Tract 5023.02,"Census Tract 5023.02, Los Angeles County, California",06,037,502302,,14000US06037502302,0.26,0.09,0.7,0.37,0.1,56750,10248.81
06037502401,Census Tract 5024.01,"Census Tract 5024.01, Los Angeles County, California",06,037,502401,,14000US06037502401,0.25,0.14,0.43,0.27,0.06,71159,13578.88
06037502402,Census Tract 5024.02,"Census Tract 5024.02, Los Angeles County, California",06,037,502402,,14000US06037502402,0.19,0.16,0.39,0.28,0.11,80208,12753.96
06037502500,Census Tract 5025,"Census Tract 5025, Los Angeles County, California",06,037,502500,,14000US06037502500,0.2,0.15,0.45,0.31,0.04,63098,2985.987
06037502601,Census Tract 5026.01,"Census Tract 5026.01, Los Angeles County, California",06,037,502601,,14000US06037502601,0.21,0.16,0.39,0.26,0.05,77170,10165.25
06037502602,Census Tract 5026.02,"Census Tract 5026.02, Los Angeles County, California",06,037,502602,,14000US06037502602,0.22,0.13,0.37,0.27,0.05,56688,9177.325
06037502700,Census Tract 5027,"Census Tract 5027, Los Angeles County, California",06,037,502700,,14000US06037502700,0.22,0.13,0.57,0.17,0.03,77065,2566.534
06037502801,Census Tract 5028.01,"Census Tract 5028.01, Los Angeles County, California",06,037,502801,,14000US06037502801,0.24,0.13,0.46,0.16,0.02,85160,7533.542
06037502802,Census Tract 5028.02,"Census Tract 5028.02, Los Angeles County, California",06,037,502802,,14000US06037502802,0.18,0.22,0.58,0.2,0.05,47350,2160.088
