"","DESCRIPTION","City","County","State","Country","AVG_AADT","AVG_TruckCounts","addr","lat","long","arcgis_address","score","location.x","location.y","extent.xmin","extent.ymin","extent.xmax","extent.ymax"
"34","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",189333,12520,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"35","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",101333,6895,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"36","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",136667,8994,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"37","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",97232,6473,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"38","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",132000,8698,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"39","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",44000,3072,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"40","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",79333,5172,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"41","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",39899,2650,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"42","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",99833,6752,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"43","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",11833,1126,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
